question	dc_answer
Question: Using data from 2019 to 2021 in Micro North Carolina is the rate of individuals aged 40 to 64 who have health insurance coverage expected to be above or below Oklahoma in 2037?	below
Question: Was the prevalence of depression in individuals aged 18 and above higher in West Virginia or BRADLEY Arkansas in 2018?	West Virginia
Question: From 2017 to 2020 was the average value of the proportion of females aged 40 to 64 who have health insurance lower in CULPEPER Virginia or Hawaii?	CULPEPER Virginia
Question: Was the minimum value from 2018 to 2020 of the proportion of females aged 50 to 64 who have health insurance lower in Alaska or Colorado?	Alaska
Question: Was the proportion of individuals who have had their annual checkup higher in Louisiana or Cammal Pennsylvania in 2015?	Cammal Pennsylvania
Question: Using data from 2018 to 2020 in Pipestone Minnesota is the rate of individuals aged 50 to 75 who underwent colorectal cancer screening expected to be above or below Norcatur Kansas in 2039?	below
Question: From 2018 to 2020 was the maximum value of the rate of asthma lower in New Hampshire Ohio or Sylva North Carolina?	Sylva North Carolina
Question: Will the incidence rate of binge drinking be higher in Utah or Lindrith New Mexico in 2038 based on the data from 2015 to 2017?	Lindrith New Mexico
Question: Was the minimum value from 2018 to 2021 of the prevalence of asthma incidents lower in Langford South Dakota or Michigan?	Langford South Dakota
Question: Compared to Mogadore Ohio was the average value from 2019 to 2021 of the proportion of males aged 50 to 64 who have health insurance higher or lower in California?	higher
Question: Using data from 2016 to 2020 in PONDERA Montana is the prevalence of individuals aged 18 to 64 who do not have health insurance expected to be above or below Nevada in 2032?	below
Question: According to data from 2018 to 2020 is the rate of individuals aged 21 to 64 who have health insurance coverage expected to be lower in GRAYSON Texas or Nevada in 2033?	GRAYSON Texas
Question: From 2017 to 2019 was the maximum value of the rate of adults experiencing independent living disability lower in Maryland or Ringwood New Jersey?	Ringwood New Jersey
Question: Was the minimum value from 2018 to 2021 of the prevalence of uninsured individuals aged 40 to 64 lower in Clearlake Oaks California or Wyoming?	Clearlake Oaks California
Question: Will the rate of females aged 40 to 64 who do not have health insurance be higher in Colorado or Moville Iowa in 2034 based on the data from 2019 to 2021?	Colorado
Question: Will the prevalence rate of diabetes in the population be higher in Armona California or IBERIA Louisiana in 2029 based on the data from 2018 to 2021?	Armona California
Question: Was the prevalence of females aged 50 to 64 without health insurance higher in Crystal City Missouri or Blevins Arkansas in 2019?	Crystal City Missouri
Question: According to data from 2016 to 2021 is the rate of asthma occurrence in children expected to be lower in New Jersey or Virginia in 2025?	New Jersey
Question: Was the proportion of women ages 21 to 65 who received cervical cancer screening higher in Draper South Dakota or Ravenden Arkansas in 2018?	Ravenden Arkansas
Question: From 2018 to 2022 was the maximum value of the proportion of females aged 50 to 64 who have health insurance lower in Mineville New York or Mc Caskill Arkansas?	Mineville New York
Question: Was the average value from 2015 to 2019 of the prevalence of high blood pressure higher in GEM Idaho or Delaware?	Delaware
Question: Compared to Alabama was the average value from 2014 to 2020 of the prevalence of individuals aged 18 to 64 who do not have health insurance higher or lower in YOUNG Texas?	higher
Question: In NOTTOWAY Virginia was the percentage of individuals who have received cholesterol screening increasing or decreasing from 2013 to 2015?	increasing
Question: Will the occurrence rate of high cholesterol be higher in Wyoming or Colorado in 2037 based on the data from 2013 to 2017?	Wyoming
Question: Was there a positive or negative correlation in the prevalence of individuals receiving their annual checkup in Indiana and Kentucky from 2016 to 2018?	positive
Question: Was the minimum value from 2018 to 2022 of the proportion of males aged 40 to 64 who have health insurance lower in Floral Arkansas or Oklahoma?	Floral Arkansas
Question: From 2015 to 2018 was the prevalence of coronary heart disease increasing faster in Indiana or GILCHRIST Florida?	GILCHRIST Florida
Question: Will the proportion of females aged 21 to 64 without health insurance be higher in Nevada or North Carolina in 2033 based on the data from 2008 to 2011?	North Carolina
Question: Compared to Port Hueneme Cbc Base California was the minimum value from 2018 to 2020 of the frequency of binge drinking incidents higher or lower in Colorado?	higher
Question: From 2018 to 2020 was the minimum value of the rate of adults experiencing any form of disability higher in Kentucky or Klickitat Washington?	Kentucky
Question: Was the prevalence rate of diabetes in the population in Ohio in 2018 higher or lower than the national average?	higher
Question: Compared to SPINK South Dakota was the average value from 2018 to 2020 of the prevalence of health insurance coverage higher or lower in Connecticut?	higher
Question: Using data from 2018 to 2020 in Massachusetts is the rate of individuals aged 50 to 64 who have health insurance expected to be above or below Buford Georgia in 2028?	below
Question: In Minnesota was the prevalence rate of individuals diagnosed with asthma increasing or decreasing from 2015 to 2021?	increasing
Question: Will the proportion of females aged 40 to 64 who have health insurance be higher in VAN ZANDT Texas or Ivydale West Virginia in 2028 based on the data from 2018 to 2020?	VAN ZANDT Texas
Question: Based on the data from 2018 to 2020 in Ringgold Louisiana is the prevalence of hearing disability in individuals aged 18 and above expected to increase or decrease going forward?	increase
Question: Was the average value from 2017 to 2019 of the prevalence rate of vision impairment in adults higher in Piseco New York or Switzer West Virginia?	Piseco New York
Question: Was the minimum value from 2017 to 2019 of the incidence of mobility disability in adults lower in JAY Indiana or KENTON Kentucky?	KENTON Kentucky
Question: Based on the data from 2018 to 2020 in Fisty Kentucky is the percentage of individuals who visited the dentist expected to increase or decrease going forward?	decrease
Question: Will the rate of individuals aged 64 and under without health insurance be higher in Kirtland AFB New Mexico or Bent New Mexico in 2039 based on the data from 2018 to 2021?	Kirtland AFB New Mexico
Question: Based on the data from 2018 to 2020 in Dubre Kentucky is the prevalence rate of arthritis expected to increase or decrease going forward?	decrease
Question: In 2014 was the rate of physical inactivity in individuals aged 20 and above lower in Minnesota or Pennsylvania?	Minnesota
Question: According to data from 2014 to 2016 is the proportion of individuals who have had their annual checkup expected to be lower in Montana or Missouri in 2030?	Montana
Question: Compared to BOWMAN North Dakota was the proportion of adults with high blood pressure who are on medication higher or lower in Anselmo Nebraska in 2017?	higher
Question: In 2018 was the occurrence rate of smoking lower in Shady Dale Georgia or Sandusky Ohio?	Shady Dale Georgia
Question: Was the maximum value from 2017 to 2020 of the prevalence of self-care disability in adults higher in Virgin Islands or Vermont Illinois?	higher
Question: Was the proportion of females aged 21 to 64 who have health insurance higher in Texas or MECOSTA Michigan in 2019?	Texas
Question: Was the average value from 2018 to 2021 of the rate of adults reporting poor general health higher in Stark City Missouri or North Carolina?	Stark City Missouri
Question: In 2018 was the rate of individuals aged 50 to 75 who underwent colorectal cancer screening lower in PECOS Texas or TROUP Georgia?	PECOS Texas
Question: Compared to Michigan was the prevalence of individuals receiving their annual checkup higher or lower in Delaware in 2016?	higher
Question: Compared to Texas was the average value from 2016 to 2020 of the prevalence of obesity in individuals aged 20 and above higher or lower in WELLS Indiana?	higher
Question: Compared to Virgin Islands was the minimum value from 2018 to 2021 of the prevalence of children and teenagers up to the age of 18 without health insurance higher or lower in California?	higher
Question: From 2015 to 2019 was the minimum value of the rate of cognitive disability in adults higher in DAUPHIN Pennsylvania or Carlin Nevada?	Carlin Nevada
Question: Using data from 2017 to 2022 in Nevada is the proportion of males aged 21 to 64 who have health insurance expected to be above or below Montana in 2031?	above
Question: Will the proportion of women ages 50 to 74 who have received a mammography be higher in Massachusetts or COOKE Texas in 2031 based on the data from 2007 to 2009?	Massachusetts
Question: From 2013 to 2015 was the occurrence rate of high cholesterol increasing faster in Vermont or CLALLAM Washington?	Vermont
Question: Will the prevalence of children and teenagers up to the age of 18 without health insurance be higher in SWISHER Texas or Port Matilda Pennsylvania in 2034 based on the data from 2018 to 2020?	SWISHER Texas
Question: From 2018 to 2022 was the average value of the proportion of females aged 50 to 64 who have health insurance lower in South Dakota or MAVERICK Texas?	South Dakota
Question: Was the minimum value from 2014 to 2016 of the occurrence rate of full teeth loss lower in Georgia or Wisconsin?	Wisconsin
Question: Compared to Seneca Rocks West Virginia was the proportion of individuals who had a dental visit higher or lower in Indiana in 2018?	higher
Question: Compared to New York was the average value from 2014 to 2020 of the rate of individuals aged 20 and above diagnosed with diabetes higher or lower in Capitol Montana?	lower
Question: Compared to Wisconsin was the minimum value from 2008 to 2010 of the prevalence of females aged 50 to 64 without health insurance higher or lower in Wyoming?	higher
Question: In 2018 was the rate of individuals aged 50 to 64 who have health insurance lower in Orange Lake Florida or Lemmon South Dakota?	Orange Lake Florida
Question: From 2018 to 2020 was the frequency of chronic obstructive pulmonary disease occurrence increasing faster in Clyde Park Montana or Colorado?	Clyde Park Montana
Question: Was the minimum value from 2018 to 2020 of the incidence rate of poor physical health lower in Maine or Humbird Wisconsin?	Maine
Question: From 2018 to 2021 was the prevalence of obesity in individuals aged 20 and above increasing faster in Vermont or MARICOPA Arizona?	Vermont
Question: Will the prevalence of females aged 50 to 64 without health insurance be higher in WILBARGER Texas or Heavener Oklahoma in 2033 based on the data from 2017 to 2021?	WILBARGER Texas
Question: Compared to Pennsylvania was the occurrence rate of smoking higher or lower in Cerulean Kentucky in 2018?	higher
Question: Will the proportion of women aged 64 and below who have health insurance coverage be higher in Albright West Virginia or Oklahoma in 2037 based on the data from 2018 to 2020?	Oklahoma
Question: Compared to OSCODA Michigan was the maximum value from 2018 to 2020 of the rate of senior females obtaining core preventive services higher or lower in Wainscott New York?	Wainscott New York
Question: In 2016 was the prevalence of individuals getting less than 7 hours of sleep lower in Wyoming or CALAVERAS California?	Wyoming
Question: Compared to Idaho was the average value from 2019 to 2022 of the proportion of males aged 21 to 64 who have health insurance higher or lower in North Carolina?	higher
Question: Compared to Virgin Islands was the average value from 2018 to 2020 of the proportion of individuals who had a dental visit higher or lower in Kaleva Michigan?	lower
Question: Compared to New Hampshire was the minimum value from 2018 to 2020 of the rate of individuals aged 21 to 64 who have health insurance coverage higher or lower in AGUADA Puerto Rico?	higher
Question: Was the minimum value from 2016 to 2020 of the proportion of senior males who received core preventive services lower in Virginia or West Virginia?	Virginia
Question: From 2018 to 2021 was the minimum value of the rate of cancer occurrence excluding skin cancer higher in EDGAR Illinois or Missouri?	EDGAR Illinois
Question: Was the maximum value from 2018 to 2020 of the prevalence of individuals getting less than 7 hours of sleep higher in Apison Tennessee or Florida?	lower
Question: From 2018 to 2022 was the maximum value of the proportion of females aged 21 to 64 who have health insurance lower in Doswell Virginia or Texas?	Doswell Virginia
Question: Will the prevalence of males aged 50 to 64 without health insurance be higher in Oklahoma or Alaska in 2025 based on the data from 2008 to 2010?	Oklahoma
Question: Was the average value from 2017 to 2021 of the occurrence rate of high cholesterol higher in North Aurora Illinois or Solsville New York?	Solsville New York
Question: From 2018 to 2020 was the minimum value of the occurrence rate of smoking higher in CORTLAND New York or Tenino Washington?	CORTLAND New York
Question: According to data from 2016 to 2018 is the prevalence rate of arthritis expected to be lower in Coral Michigan or Wisconsin in 2038?	Coral Michigan
Question: In Pennsylvania was the incidence of hearing disability in adults increasing or decreasing from 2015 to 2019?	increasing
Question: In Wyoming was the prevalence of poor general health in adults increasing or decreasing from 2015 to 2021?	decreasing
Question: Was the minimum value from 2011 to 2014 of the prevalence of females aged 64 and under without health insurance lower in POTTER Pennsylvania or Arkansas?	POTTER Pennsylvania
Question: According to data from 2018 to 2021 is the prevalence rate of chronic kidney disease expected to be lower in WHEATLAND Montana or Kansas in 2039?	Kansas
Question: Will the prevalence of chronic obstructive pulmonary disease be higher in Michigan or BULLOCK Alabama in 2031 based on the data from 2015 to 2018?	BULLOCK Alabama
Question: Was the prevalence of children and teenagers up to the age of 18 without health insurance in Utah in 2018 higher or lower than the national average?	higher
Question: Was there a positive or negative correlation in the incidence of cognitive disability in adults in New Hampshire and Moatsville West Virginia from 2015 to 2021?	negative
Question: Was the rate of individuals aged 64 and under without health insurance in New Mexico in 2018 higher or lower than the national average?	higher
Question: Compared to KANAWHA West Virginia was the average value from 2018 to 2021 of the rate of asthma higher or lower in Maine?	higher
Question: Was the rate of males aged 64 and under without health insurance higher in Colorado or Kansas in 2012?	Colorado
Question: Based on the data from 2018 to 2020 in San Ysidro California is the incidence rate of poor physical health expected to increase or decrease going forward?	decrease
Question: Using data from 2014 to 2016 in West Virginia is the prevalence of depression in individuals aged 18 and above expected to be above or below Vermont in 2040?	below
Question: In Flat Rock Michigan was the prevalence rate of arthritis increasing or decreasing from 2018 to 2021?	decreasing
Question: From 2018 to 2020 was the frequency of binge drinking incidents increasing faster in Oberlin Ohio or Mount Ephraim New Jersey?	Oberlin Ohio
Question: According to data from 2014 to 2021 is the prevalence of obesity in individuals aged 20 and above expected to be lower in Alabama or New Mexico in 2034?	Alabama
Question: Was there a positive or negative correlation in the incidence rate of any form of disability in adults in Saint Nazianz Wisconsin and New Mexico from 2018 to 2022?	positive
Question: Using data from 2019 to 2022 in Lepanto Arkansas is the prevalence of health insurance coverage expected to be above or below ALLEN Indiana in 2036?	below
Question: In 2018 was the frequency of poor physical health lower in Cumberland Center Maine or JEFFERSON DAVIS Louisiana?	Cumberland Center Maine
Question: From 2018 to 2021 was the maximum value of the rate of individuals aged 21 to 64 who lack health insurance lower in ROCKINGHAM New Hampshire or Canyon City Oregon?	Canyon City Oregon
Question: In 2016 was the prevalence rate of arthritis lower in Saint Inigoes Maryland or Tennessee?	Saint Inigoes Maryland
Question: According to data from 2012 to 2015 is the rate of males aged 18 to 64 without health insurance expected to be lower in West Virginia or Vermont in 2033?	West Virginia
Question: From 2017 to 2020 was the maximum value of the rate of individuals aged 40 to 64 who have health insurance coverage lower in Oregon or Indiana?	Oregon
Question: In 2015 was the frequency of binge drinking incidents lower in KODIAK ISLAND Alaska or Indiana?	Indiana
Question: From 2015 to 2018 was the minimum value of the prevalence rate of obesity higher in Rhode Island or New Mexico?	Rhode Island
Question: From 2011 to 2016 was the average value of the proportion of women ages 21 to 65 who received a Pap smear test lower in Two Buttes Colorado or Kansas?	Two Buttes Colorado
